Formulario,Orden,Pregunta,Tipo,Opciones,Obligatoria,Objetivo de la pregunta,Variable medida
Formulario A - Flujo digital y confianza,0,Zona o distrito donde se realiza la entrevista,Respuesta corta,,Sí,Segmentar respuestas por ubicación de campo,Zona
Formulario A - Flujo digital y confianza,1,¿Cuenta actualmente con escáner intraoral en su clínica?,Opción múltiple,"Sí, lo uso para la mayoría de casos | Sí, pero solo para casos específicos | No, pero planeo adquirir uno pronto | No, prefiero trabajar con impresiones tradicionales",Sí,Identificar madurez digital del consultorio,Adopción digital
Formulario A - Flujo digital y confianza,2,¿Con qué frecuencia requiere servicios de laboratorio dental?,Opción múltiple,Diariamente | Varias veces por semana | Una vez por semana | Algunas veces al mes | Solo en casos puntuales,Sí,Medir potencial de demanda recurrente,Frecuencia de uso
Formulario A - Flujo digital y confianza,3,"Si un laboratorio ofrece recojo y entrega gratuita en todo Arequipa, ¿estaría dispuesto a probarlo aunque no esté en su distrito?",Opción múltiple,Definitivamente sí | Lo consideraría si la calidad es alta | Me genera dudas por la seguridad de los modelos | Prefiero trabajar solo con laboratorios cercanos,Sí,Validar si la distancia física es una barrera real,Barrera logística
Formulario A - Flujo digital y confianza,4,"En prótesis fija, ¿con qué material trabaja con mayor frecuencia?",Opción múltiple,Zirconia | Disilicato de litio | Metal-cerámica tradicional | Resinas compuestas | Otro,Sí,Priorizar materiales y capacidad técnica,Material dominante
Formulario A - Flujo digital y confianza,5,"Del 1 al 5, ¿qué tan satisfecho está con el ajuste marginal y la oclusión de su laboratorio actual?",Escala lineal 1-5,1 = Muy insatisfecho | 5 = Muy satisfecho,Sí,Detectar dolor técnico frente a proveedores actuales,Satisfacción técnica
Formulario A - Flujo digital y confianza,6,"¿Le resultaría valioso rastrear el estado de su orden desde el celular?,Opción múltiple,Sí", me daría tranquilidad | Sería interesante, pero no determinante | No lo considero necesario,Sí,Validar valor percibido de seguimiento digital,Interés en tracking
Formulario A - Flujo digital y confianza,7,¿Qué problema de su flujo actual con laboratorios le gustaría resolver primero?,Párrafo,,No,Capturar dolor principal no inducido,Dolor abierto
Formulario B - Operación y cambio de proveedor,0,Zona o distrito donde se realiza la entrevista,Respuesta corta,,Sí,Segmentar respuestas por ubicación de campo,Zona
Formulario B - Operación y cambio de proveedor,1,¿Qué tipo de atención realiza con mayor frecuencia en su consultorio?,Opción múltiple,Odontología general | Rehabilitación oral | Estética dental | Implantología | Ortodoncia | Atención mixta,Sí,Clasificar el perfil clínico del consultorio,Tipo de consultorio
Formulario B - Operación y cambio de proveedor,2,¿Cómo prefiere enviar sus casos al laboratorio?,Opción múltiple,Escáner intraoral | Impresiones físicas | Ambas opciones según el caso | Aún no tengo preferencia definida,Sí,Entender el canal operativo dominante,Canal de envío
Formulario B - Operación y cambio de proveedor,3,¿Cuál es el principal problema logístico que enfrenta hoy?,Desplegable,Retrasos en la entrega | Daños en modelos o impresiones durante transporte | Falta de comunicación con mensajero | Costos de envío elevados | Ninguno relevante,Sí,Identificar fricción logística concreta,Problema logístico
Formulario B - Operación y cambio de proveedor,4,¿Cuáles son los trabajos que más encarga actualmente? Seleccione máximo 3.,Casillas,Coronas y puentes | Carillas estéticas | Incrustaciones inlay/onlay | Prótesis sobre implantes | Modelos de estudio | Alineadores invisibles | Prótesis removible,Sí,Detectar demanda por líneas de servicio,Servicios frecuentes
